media,count
'https://t.co/29xt05PIWz',93
'https://t.co/LMoVths5dP',67
'https://t.co/LGCyJUEBn5',50
'https://t.co/zE0DCkP3az',25
'https://t.co/zvZPyg1n5h',24
'https://t.co/P3l82ftocV',23
'https://t.co/80f0Lg0yLG',22
'https://t.co/H0sHAbAitt',18
'https://t.co/xeBTyQmFJX',16
'https://t.co/k20q6A4EGK',15
'https://t.co/Z7OxXX1bie',15
'https://t.co/vLPS5tHOaE',13
'https://t.co/yS8m6ijQvI',13
'https://t.co/onqX6KyPcJ',13
'https://t.co/6zyiI3nneY',13
'https://t.co/3u2iY9XVMT',12
'https://t.co/XvADr0bLAS',11
'https://t.co/0Frt7knQQO',10
'https://t.co/5MR6G29vQU',10
'https://t.co/z5ueuekkMu',10
